Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
Cristhian Mosquera,es ESP,DF,20.0,36.9,2053,1931,117,57,0,6,2,49,0,0,0,0,1858,5,9,Matches
Diego López,es ESP,"MF,FW",22.0,30.4,943,904,36,0,5,3,67,33,0,0,0,0,680,3,47,Matches
Giorgi Mamardashvili,ge GEO,GK,23.0,34.0,1080,742,336,117,0,3,0,0,0,0,0,0,732,2,1,Matches
César Tárrega,es ESP,DF,22.0,33.6,1692,1608,79,47,0,10,1,1,0,0,0,0,1428,5,14,Matches
Luis Rioja,es ESP,"MF,FW",30.0,31.5,1212,1077,132,28,6,14,203,48,56,31,14,0,821,3,61,Matches
Javier Guerra,es ESP,MF,21.0,28.7,1314,1248,55,28,8,11,45,6,15,7,3,0,1023,11,40,Matches
Enzo Barrenechea,ar ARG,MF,23.0,24.3,1352,1292,55,54,3,22,3,1,0,0,0,0,1170,5,11,Matches
Dimitri Foulquier,fr FRA,DF,31.0,25.5,1276,1000,270,44,2,4,57,226,0,0,0,0,1007,6,43,Matches
Hugo Duro,es ESP,FW,24.0,24.1,428,386,41,1,0,1,7,1,0,0,0,0,296,1,15,Matches
Domingos André Ribeiro Almeida,pt POR,"MF,FW",24.0,22.0,947,854,85,27,7,7,67,10,34,8,18,0,798,8,17,Matches
José Luis Gayà,es ESP,DF,29.0,20.0,996,823,170,13,1,5,84,157,0,0,0,0,775,3,20,Matches
José Luis García Vayá,es ESP,MF,25.0,19.4,1237,1086,143,70,4,25,109,0,72,22,36,3,970,8,12,Matches
Jesus Vazquez,es ESP,DF,21.0,10.2,447,332,112,8,0,0,23,103,0,0,0,0,345,3,22,Matches
Yarek Gasiorowski,es ESP,DF,19.0,10.5,482,448,34,17,1,1,3,16,0,0,0,0,387,0,7,Matches
Umar Sadiq,ng NGA,FW,27.0,9.2,173,155,17,0,0,3,0,1,0,0,0,0,125,1,5,Matches
Thierry Correia,pt POR,DF,25.0,8.5,441,349,91,7,0,1,18,84,0,0,0,0,330,1,16,Matches
Mouctar Diakhaby,gn GUI,DF,27.0,7.3,336,320,14,9,0,3,1,2,0,0,0,0,282,2,4,Matches
Rafa Mir,es ESP,"FW,MF",27.0,8.4,200,197,2,0,0,1,7,0,0,0,0,0,144,1,9,Matches
Dani Gómez,es ESP,FW,26.0,5.9,83,72,11,0,0,0,0,2,0,0,0,0,62,0,6,Matches
Francisco Perez,es ESP,"FW,MF",21.0,6.3,230,222,8,0,1,2,27,7,1,0,0,0,169,0,16,Matches
Hugo Guillamón,es ESP,MF,24.0,4.0,188,178,9,9,0,3,1,0,0,0,0,0,154,1,1,Matches
Stole Dimitrievski,mk MKD,GK,30.0,4.0,133,88,45,25,0,0,0,0,0,0,0,0,68,0,0,Matches
Sergi Canós,es ESP,"MF,FW",27.0,4.1,158,149,8,1,0,1,18,3,4,0,3,0,92,1,10,Matches
Ivan Jaime Pajuelo,es ESP,MF,23.0,3.3,106,98,6,2,0,2,6,0,4,1,0,0,80,2,4,Matches
Germán Valera,es ESP,MF,22.0,1.6,47,46,1,0,0,0,6,1,0,0,0,0,34,0,1,Matches
Max Aarons,eng ENG,"DF,MF",24.0,1.3,66,54,12,1,0,0,5,11,0,0,0,0,47,0,1,Matches
Maximiliano Caufriez,be BEL,DF,27.0,1.0,14,13,1,1,0,0,0,0,0,0,0,0,11,0,0,Matches
Rodrigo Abajas,es ESP,DF,21.0,0.7,29,21,8,0,0,0,1,8,0,0,0,0,17,0,2,Matches
Martín Tejón,es ESP,"MF,DF",20.0,0.5,26,26,0,0,0,0,1,0,0,0,0,0,20,0,0,Matches
Iker Córdoba,es ESP,DF,18.0,0.2,11,11,0,0,0,0,1,0,0,0,0,0,9,0,1,Matches
David Otorbi,es ESP,MF,16.0,0.2,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
Alberto Marí,es ESP,FW,23.0,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
Squad Total,,,24.7,38.0,17708,15738,1898,566,38,128,763,770,186,69,74,3,13938,72,395,
Opponent Total,,,26.8,38.0,18992,17048,1837,485,78,139,691,801,190,79,57,2,15307,107,328,
