Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Giorgi Mamardashvili,ge GEO,GK,21.0,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Samuel Lino,br BRA,"FW,MF",22.0,32.1,6,96,33,34.4,2.99,1.03,0.06,0.18,17.9,0,0,0,7.8,7.7,0.08,-1.8,-1.7,Matches
José Luis Gayà,es ESP,DF,27.0,30.1,1,22,8,36.4,0.73,0.27,0.05,0.13,23.8,2,0,1,1.9,1.1,0.05,-0.9,-0.1,Matches
Domingos André Ribeiro Almeida,pt POR,MF,22.0,28.2,2,23,8,34.8,0.82,0.28,0.09,0.25,22.7,3,0,0,1.4,1.4,0.06,0.6,0.6,Matches
Mouctar Diakhaby,gn GUI,DF,25.0,27.2,3,21,7,33.3,0.77,0.26,0.14,0.43,10.9,0,0,0,2.7,2.7,0.13,0.3,0.3,Matches
Yunus Musah,us USA,MF,19.0,23.4,0,22,3,13.6,0.94,0.13,0.0,0.0,18.4,0,0,0,1.8,1.8,0.08,-1.8,-1.8,Matches
Thierry Correia,pt POR,DF,23.0,22.3,0,6,0,0.0,0.27,0.0,0.0,,19.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Edinson Cavani,uy URU,FW,35.0,16.1,5,31,8,25.8,1.93,0.5,0.1,0.38,14.7,3,2,3,6.0,3.6,0.12,-1.0,-0.6,Matches
Eray Cömert,ch SUI,DF,24.0,18.6,1,10,6,60.0,0.54,0.32,0.1,0.17,18.2,0,0,0,0.5,0.5,0.05,0.5,0.5,Matches
Hugo Guillamón,es ESP,MF,22.0,18.1,1,3,1,33.3,0.17,0.06,0.0,0.0,22.7,0,1,1,1.1,0.3,0.1,-0.1,-0.3,Matches
Gabriel Paulista,br BRA,DF,31.0,16.7,1,14,2,14.3,0.84,0.12,0.07,0.5,17.4,0,0,0,0.7,0.7,0.05,0.3,0.3,Matches
Nicolás González,es ESP,MF,20.0,15.6,1,14,3,21.4,0.9,0.19,0.07,0.33,15.2,0,0,0,1.5,1.5,0.11,-0.5,-0.5,Matches
Dimitri Foulquier,fr FRA,DF,29.0,19.3,0,3,0,0.0,0.16,0.0,0.0,,13.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Samu Castillejo,es ESP,"FW,MF",27.0,15.1,4,37,10,27.0,2.44,0.66,0.11,0.4,18.5,2,0,0,2.9,2.9,0.08,1.1,1.1,Matches
Justin Kluivert,nl NED,"FW,MF",23.0,16.1,6,43,15,34.9,2.67,0.93,0.12,0.33,18.1,2,1,1,6.6,5.9,0.14,-0.6,-0.9,Matches
Cenk Özkacar,tr TUR,DF,21.0,15.2,0,11,2,18.2,0.73,0.13,0.0,0.0,12.8,0,0,0,0.8,0.8,0.07,-0.8,-0.8,Matches
Hugo Duro,es ESP,FW,22.0,15.4,1,32,9,28.1,2.08,0.58,0.03,0.11,11.9,0,0,1,4.4,3.6,0.11,-3.4,-2.6,Matches
Ilaix Moriba,gn GUI,MF,19.0,11.2,0,21,5,23.8,1.87,0.45,0.0,0.0,22.5,1,0,0,1.2,1.2,0.06,-1.2,-1.2,Matches
Toni Lato,es ESP,"DF,MF",24.0,10.2,1,9,1,11.1,0.89,0.1,0.11,1.0,17.3,1,0,0,0.8,0.8,0.09,0.2,0.2,Matches
Javier Guerra,es ESP,MF,19.0,6.7,1,15,6,40.0,2.23,0.89,0.07,0.17,20.8,0,0,0,0.9,0.9,0.06,0.1,0.1,Matches
Diego López,es ESP,"FW,MF",20.0,5.0,3,12,8,66.7,2.42,1.61,0.25,0.38,10.5,0,0,0,3.5,3.5,0.3,-0.5,-0.5,Matches
Marcos André,br BRA,"FW,MF",25.0,5.0,1,17,2,11.8,3.42,0.4,0.06,0.5,14.6,0,0,0,1.5,1.3,0.08,-0.5,-0.3,Matches
Jesus Vazquez,es ESP,"DF,MF",19.0,3.4,0,6,1,16.7,1.74,0.29,0.0,0.0,21.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Carlos Soler,es ESP,MF,25.0,2.7,1,4,1,25.0,1.49,0.37,0.0,0.0,30.0,3,1,1,0.9,0.2,0.04,0.1,-0.2,Matches
Cristhian Mosquera,es ESP,DF,18.0,1.6,0,2,0,0.0,1.24,0.0,0.0,,9.3,0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches
Francisco Perez,es ESP,"FW,MF",19.0,1.6,0,1,0,0.0,0.64,0.0,0.0,,25.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Maxi Gómez,uy URU,FW,25.0,1.2,0,3,0,0.0,2.5,0.0,0.0,,18.9,1,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
Alberto Marí,es ESP,"FW,MF",21.0,1.0,1,2,1,50.0,2.09,1.05,0.5,1.0,10.7,0,0,0,0.2,0.2,0.12,0.8,0.8,Matches
Squad Total,,,24.2,38.0,40,480,140,29.2,12.63,3.68,0.07,0.25,17.5,18,5,8,49.3,43.0,0.09,-9.3,-8.0,
Opponent Total,,,27.5,38.0,43,395,146,37.0,10.39,3.84,0.1,0.28,17.0,16,2,5,43.5,39.7,0.1,-0.5,1.3,
