Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Dodi Lukebakio,be BEL,FW,26.0,34.4,22,14,8,8,6,15,27,55.6,12,18,1,17,11,33,17,2,Matches
Carmona,es ESP,DF,22.0,32.7,83,59,53,21,9,41,77,53.2,36,37,11,26,68,151,92,3,Matches
Loïc Bade,fr FRA,DF,24.0,29.8,47,27,37,10,0,23,31,74.2,8,22,13,9,29,76,162,2,Matches
Ørjan Nyland,no NOR,GK,33.0,29.7,3,2,3,0,0,3,5,60.0,2,0,0,0,0,3,12,4,Matches
Nemanja Gudelj,rs SRB,"MF,DF",32.0,27.7,42,24,16,22,4,21,35,60.0,14,27,10,17,27,69,94,1,Matches
Adrià Pedrosa,es ESP,DF,26.0,25.5,56,32,34,16,6,31,54,57.4,23,43,11,32,24,80,85,0,Matches
Isaac Romero,es ESP,FW,24.0,24.0,13,7,4,4,5,3,16,18.8,13,18,1,17,7,20,27,0,Matches
Kike Salas,es ESP,DF,22.0,24.9,47,28,24,16,7,27,46,58.7,19,26,14,12,32,79,146,0,Matches
Lucien Agoume,fr FRA,MF,22.0,23.5,70,32,23,37,10,27,39,69.2,12,30,11,19,41,111,42,0,Matches
Djibril Sow,ch SUI,MF,27.0,22.9,25,14,13,10,2,8,17,47.1,9,18,3,15,28,53,26,1,Matches
Juanlu Sánchez,es ESP,"MF,DF",20.0,19.1,50,34,28,15,7,35,59,59.3,24,27,2,25,17,67,19,0,Matches
Saúl Ñíguez,es ESP,MF,29.0,17.3,47,32,16,24,7,12,31,38.7,19,25,2,23,22,69,34,0,Matches
Albert Sambi Lokonga,be BEL,MF,24.0,16.3,22,15,10,9,3,10,14,71.4,4,13,1,12,9,31,24,3,Matches
Peque,es ESP,"MF,FW",21.0,12.6,16,5,4,10,2,7,17,41.2,10,16,0,16,8,24,5,0,Matches
Chidera Ejuke,ng NGA,FW,26.0,10.7,19,13,8,9,2,9,20,45.0,11,12,0,12,5,24,8,0,Matches
Ruben Vargas,ch SUI,"FW,MF",25.0,7.5,7,4,1,5,1,3,8,37.5,5,9,0,9,3,10,10,0,Matches
Álvaro Fernández,es ESP,GK,26.0,8.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,0,Matches
Marcão,br BRA,DF,28.0,6.1,10,7,6,4,0,3,5,60.0,2,9,6,3,7,17,29,1,Matches
Tanguy Nianzou,fr FRA,DF,22.0,5.8,7,5,6,0,1,5,6,83.3,1,1,0,1,8,15,27,0,Matches
Kelechi Iheanacho,ng NGA,FW,27.0,4.4,1,0,0,1,0,1,3,33.3,2,0,0,0,0,1,1,0,Matches
Suso,es ESP,"FW,MF",30.0,6.7,10,7,3,6,1,4,11,36.4,7,4,0,4,4,14,2,0,Matches
Álvaro Pascual,es ESP,FW,22.0,4.5,5,3,0,3,2,1,5,20.0,4,4,0,4,2,7,9,0,Matches
Jesús Navas,es ESP,"FW,MF",38.0,4.7,5,2,3,0,2,0,3,0.0,3,1,0,1,4,9,6,0,Matches
Valentín Barco,ar ARG,"DF,FW",20.0,3.2,15,9,8,3,4,12,15,80.0,3,0,0,0,2,17,5,0,Matches
Stanis Idumbo,be BEL,"FW,MF",19.0,3.2,9,5,3,4,2,3,5,60.0,2,3,1,2,4,13,2,0,Matches
Ramón Martínez,es ESP,DF,21.0,2.9,6,3,5,1,0,3,5,60.0,2,2,1,1,2,8,23,0,Matches
Lucas Ocampos,ar ARG,FW,30.0,1.9,3,2,2,0,1,1,2,50.0,1,2,0,2,0,3,2,0,Matches
Manu Bueno,es ESP,"MF,FW",20.0,1.6,4,3,0,1,3,1,2,50.0,1,0,0,0,0,4,2,0,Matches
Akor Adams,ng NGA,FW,24.0,1.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches
Gonzalo Montiel,ar ARG,"DF,MF",27.0,1.3,4,2,3,1,0,3,4,75.0,1,0,0,0,2,6,11,0,Matches
Diego Iturralde,es ESP,FW,21.0,0.4,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Matches
Leandro Antonetti,pr PUR,FW,21.0,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Israel Domínguez,es ESP,FW,21.0,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Mateo Mejía,es ESP,FW,21.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Darío Fuentes,es ESP,DF,21.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,26.1,38.0,648,390,321,240,87,312,563,55.4,251,368,88,280,367,1015,931,17,
Opponent Total,,,26.8,38.0,651,375,306,260,85,320,659,48.6,339,385,110,275,283,934,890,22,
